Country,Product,Flow,Year,Value
Australia,Electricity,Total energy supply (ktoe),2010,0
Australia,Electricity,Total energy supply (ktoe),2011,0
Australia,Electricity,Total energy supply (ktoe),2012,0
Australia,Electricity,Total energy supply (ktoe),2013,0
Australia,Electricity,Total energy supply (ktoe),2014,0
Australia,Electricity,Total energy supply (ktoe),2015,0
Australia,Heat,Total energy supply (ktoe),2010,0
Australia,Heat,Total energy supply (ktoe),2011,0
Australia,Heat,Total energy supply (ktoe),2012,0
Australia,Heat,Total energy supply (ktoe),2013,0
Australia,Heat,Total energy supply (ktoe),2014,0
Australia,Heat,Total energy supply (ktoe),2015,0
Australia,Natural gas,Total energy supply (ktoe),2010,27378
Australia,Natural gas,Total energy supply (ktoe),2011,28692
Australia,Natural gas,Total energy supply (ktoe),2012,27474
Australia,Natural gas,Total energy supply (ktoe),2013,30884
Australia,Natural gas,Total energy supply (ktoe),2014,32906
Australia,Natural gas,Total energy supply (ktoe),2015,33128
Austria,Electricity,Total energy supply (ktoe),2010,210
Austria,Electricity,Total energy supply (ktoe),2011,705
Austria,Electricity,Total energy supply (ktoe),2012,241
Austria,Electricity,Total energy supply (ktoe),2013,625
Austria,Electricity,Total energy supply (ktoe),2014,797
Austria,Electricity,Total energy supply (ktoe),2015,865
Austria,Heat,Total energy supply (ktoe),2010,4
Austria,Heat,Total energy supply (ktoe),2011,2
Austria,Heat,Total energy supply (ktoe),2012,2
Austria,Heat,Total energy supply (ktoe),2013,2
Austria,Heat,Total energy supply (ktoe),2014,2
Austria,Heat,Total energy supply (ktoe),2015,3
Austria,Natural gas,Total energy supply (ktoe),2010,8123
Austria,Natural gas,Total energy supply (ktoe),2011,7667
Austria,Natural gas,Total energy supply (ktoe),2012,7327
Austria,Natural gas,Total energy supply (ktoe),2013,7061
Austria,Natural gas,Total energy supply (ktoe),2014,6444
Austria,Natural gas,Total energy supply (ktoe),2015,6872
